,text,label,party,year,country
78,Deutschland ist ein starkes Land.,601.1,cdu,2021,9
79,"Das ist vor allem ein Verdienst der Bürgerinnen und Bürger, die jeden Tag anpacken, damit es bei uns auch morgen gut läuft.",606.1,cdu,2021,9
80,"Wir haben starke Betriebe, innovative Startups und Weltmarktführer, herausragende Forscherinnen und Forscher und eines der besten Gesundheits- und Sozialsysteme der Welt.",601.1,cdu,2021,9
81,"Wir sind ein weltoffenes und sicheres Land; ein Land, das Verantwortung für Sicherheit und Frieden, Freiheit und Wohlstand in Europa und weltweit übernimmt.",601.1,cdu,2021,9
82,"Die Corona-Krise hat unser Land und besonders Staat und Verwaltung herausgefordert und offengelegt, dass wir in einigen Bereichen schneller, besser und mutiger werden müssen.",303.0,cdu,2021,9
83,Wir brauchen einen kraftvollen Neustart nach der Krise.,408.0,cdu,2021,9
84,Wir wollen die 20er Jahre zu einem Modernisierungsjahrzehnt für unser Land machen.,411.0,cdu,2021,9
85,Dabei wollen wir das Gute besser machen.,411.0,cdu,2021,9
86,"Denn klar ist: Wir können nicht zaubern, aber wir können und wir wollen arbeiten und gestalten.",305.1,cdu,2021,9
87,Wir haben in der unionsgeführten Bundesregierung vieles erreicht.,305.1,cdu,2021,9
88,"Unsere Politik für Wachstum und solide Finanzen hat die Grundlage dafür geschaffen, dass wir in der Pandemie umfassend handeln konnten: zum Schutz der Bürgerinnen und Bürger vor dem Virus, für die Impfstoffrevolution und umfassende Hilfen für Betriebe und Beschäftigte.",305.1,cdu,2021,9
89,Das ist nicht selbstverständlich und nicht garantiert.,305.1,cdu,2021,9
90,"Erfolg ist kein Schicksal, sondern das Ergebnis harter Arbeit.",401.0,cdu,2021,9
91,"Unsere Richtung ist klar: Wir wollen den Wandel gestalten, damit Deutschland an der Spitze bleibt.",601.1,cdu,2021,9
92,Aber unsere Vorstellung ist: Sicherheit im Wandel.,503.0,cdu,2021,9
93,Wir wollen stark aus der Krise kommen und eine neue Dynamik schaffen.,408.0,cdu,2021,9
94,"Eine Dynamik, die Wirtschaft",410.0,cdu,2021,9
95,"und Klimaschutz voranbringt,",501.0,cdu,2021,9
96,"Arbeitsplätze sichert und neue schafft,",701.0,cdu,2021,9
97,Familien unterstützt,603.0,cdu,2021,9
98,und eine moderne Arbeitswelt gestaltet.,701.0,cdu,2021,9
99,"Dabei stürmen wir nicht blind ins Morgen, sondern halten Maß und Mitte.",305.1,cdu,2021,9
100,"Das bedeutet auch: Wir werden nichts versprechen, was wir nicht einhalten können.",305.1,cdu,2021,9
101,Durch die hohen Ausgaben zur Bekämpfung der Pandemie sind die finanziellen Spielräume des Staates deutlich eingeschränkt.,414.0,cdu,2021,9
102,Neue Schulden oder Steuererhöhungen wären aber der falsche Weg.,414.0,cdu,2021,9
103,"Wir setzen auf wirtschaftliches Wachstum, das unserem Staat finanzielle Spielräume eröffnet.",410.0,cdu,2021,9
104,Diese Spielräume wollen wir für die finanzwirksamen Vorhaben dieses Programms nutzen.,408.0,cdu,2021,9
105,Wir brauchen auch einen Neustart im Verhältnis zwischen Staat und Bürger.,201.1,cdu,2021,9
106,Der Staat muss sich nach der Pandemie wieder deutlich zurückziehen und den Bürgerinnen und Bürgern,201.1,cdu,2021,9
107,sowie den Unternehmen mehr Freiraum lassen.,401.0,cdu,2021,9
108,"Wir müssen aufhören, jedes Problem bis ins Detail zu regeln",401.0,cdu,2021,9
109,oder mit mehr Geld lösen zu wollen.,414.0,cdu,2021,9
110,Wir wollen einen verlässlichen und modernen Staat.,303.0,cdu,2021,9
111,"Unser Ziel ist, so schnell wie möglich wieder zurück zu einer Normalität zu gelangen, die uns Liebgewonnenes und Vermisstes zurückgibt und in der wir klug das Morgen gestalten.",601.1,cdu,2021,9
112,"Wir wollen, dass Deutschland eine starke Heimat bleibt, in der möglichst viele Menschen nach ihrem persönlichen Glück streben können.",601.1,cdu,2021,9
113,"Wir wollen eine Gesellschaft, die zusammenhält und Einsatz belohnt, Aufstieg ermöglicht und die diejenigen schützt, die sich nicht selbst helfen können.",606.1,cdu,2021,9
114,"Wir wollen ein modernes Deutschland, das an morgen denkt, heute handelt und gemeinsam ganz Großes weiterwachsen lässt: wirtschaftliche Stärke,",410.0,cdu,2021,9
115,konsequenten Klimaschutz,501.0,cdu,2021,9
116,und soziale Sicherheit.,504.0,cdu,2021,9
117,Deshalb soll Deutschland deutlich vor Mitte des Jahrhunderts eine klimaneutrale Industrienation werden.,501.0,cdu,2021,9
118,"Und gemeinsam mit unseren europäischen Freunden wollen wir dafür sorgen, dass Deutschland und die EU weltpolitikfähiger werden.",108.0,cdu,2021,9
119,"Wir haben für diese Aufgabe die richtigen Werte und Prinzipien: Vernunft statt Ideologie,",202.1,cdu,2021,9
120,"Innovationen statt Verbote,",401.0,cdu,2021,9
121,"Soziale Marktwirtschaft statt sozialistischer Umverteilung,",403.0,cdu,2021,9
122,"Chancen statt Ängste,",503.0,cdu,2021,9
123,"Respekt statt Bevormundung für Familien,",603.0,cdu,2021,9
124,christliches Menschenbild und gesellschaftliche Vielfalt statt vorgefertigter Lebensentwürfe für jeden Einzelnen.,603.0,cdu,2021,9
125,Wir spielen vermeintliche Gegensätze und unterschiedliche Gruppen nicht gegeneinander aus.,606.1,cdu,2021,9
126,Wir verbinden sie.,606.1,cdu,2021,9
127,"Weil wir wissen: Gerade in einer individualisierten Gesellschaft ist es wichtig, dass wir bei den großen Fragen in eine gemeinsame Richtung gehen, dass jeder die Gewissheit hat, Teil eines Ganzen zu sein - ob jung oder alt, ob auf dem Land oder in der Stadt, ob Arbeitnehmer oder Arbeitgeber.",606.1,cdu,2021,9
128,Zusammenhalt ist für uns Ausdruck von Verantwortung - gegenüber den Bürgerinnen und Bürgern unseres Landes ebenso wie gegenüber unserer Umwelt und den zukünftigen Generationen.,606.1,cdu,2021,9
129,"Jeder von uns ist Teil dieser Verantwortungsgemeinschaft, Teil einer Nation und einer Europäischen Union mit gemeinsamer Kultur, gemeinsamer Geschichte, gemeinsamen Werten, gemeinsamen Zielen und einer gemeinsamen Zukunft.",606.1,cdu,2021,9
131,"Unser Unions-Versprechen: Wir arbeiten für ein weltoffenes Deutschland, das in einem Bündnis von Demokratien gemeinsam mit unseren transatlantischen und europäischen Partnern die globalen Herausforderungen gestaltet.",107.0,cdu,2021,9
132,"Unser Ziel heißt: Sicherheit und Frieden,",106.0,cdu,2021,9
133,Freiheit und Wohlstand für die Menschen in Deutschland.,201.1,cdu,2021,9
134,"Das Modernisierungsjahrzehnt, mit dem wir Deutschland weltpolitikfähig machen, kann nur mit neuer außenpolitischer Stärke gelingen.",107.0,cdu,2021,9
